ticker,market_cap,exchange,predicted_move
TICK001,251318372490,HKEX,0.04407258365757376
TICK002,482047827785,TSE,0.043140572391819385
TICK003,670408695208,NYSE,0.030735147449574715
TICK004,428283212790,NASDAQ,-0.0026477452296952003
TICK005,172560312423,LSE,0.007933448653537144
TICK006,324762371171,TSE,0.03306383173320998
TICK007,924674408380,LSE,0.0017904796610468052
TICK008,931193160814,NASDAQ,-0.016045124670976567
TICK009,335527249794,NYSE,-0.03921541395904286
TICK010,355738619259,NYSE,0.03606041343374698
TICK011,416574399433,HKEX,-0.026325798296712135
TICK012,840087390376,NYSE,0.01785669684462067
TICK013,202707116798,LSE,-0.022632801716908194
TICK014,934984056581,TSE,0.0493902291056164
TICK015,979258629832,LSE,-0.013088413664935204
TICK016,486705037033,NYSE,0.03921538613957888
TICK017,13633289596,HKEX,-0.03124881760933809
TICK018,77154589172,NYSE,-0.018166819419320857
TICK019,325182472313,NYSE,0.04222133990080905
TICK020,305539615960,NASDAQ,0.028662045079569543
TICK021,493640283151,LSE,0.037011617672647865
TICK022,952896255357,LSE,-0.011283896255791778
TICK023,28874977942,TSE,-0.014929598322985314
TICK024,755560761499,LSE,0.017382956346041825
TICK025,432032874347,TSE,0.036396745806837424
TICK026,121190797561,LSE,0.0394370428653352
TICK027,252851248501,LSE,-0.04795238749618011
TICK028,827769789360,NASDAQ,0.020082186982890715
TICK029,621988869237,NASDAQ,0.04396174076092747
TICK030,198923794067,HKEX,0.04991503181451051
TICK031,50504275154,LSE,-0.049541558685099164
TICK032,106027110719,TSE,-0.0378355164995162
TICK033,466262453122,HKEX,-0.024061026698964795
TICK034,352057667876,NASDAQ,-0.049840344480834534
TICK035,294243972239,TSE,0.044874264603874794
TICK036,248107493818,LSE,-0.04314056292541915
TICK037,160051843141,LSE,0.0012523094055617023
TICK038,803413341903,NYSE,-0.017335183559334798
TICK039,970804035866,LSE,-0.018550833547588796
TICK040,375659794368,NYSE,0.04279383413717808
TICK041,603437469863,NYSE,-0.022423868613547317
TICK042,14778124259,HKEX,-0.048234221976790684
TICK043,58603805214,NYSE,-0.022918568613586057
TICK044,938012134441,LSE,0.0006461570788514615
TICK045,599590069736,NYSE,0.0201012099762988
TICK046,109267810461,NYSE,0.025261153820608687
TICK047,513977175473,NASDAQ,0.004129318541449031
TICK048,219671561893,NYSE,-0.030139414395283084
TICK049,448517778811,NASDAQ,-0.03159596877743041
TICK050,938270788001,TSE,0.022807133213776393
TICK051,563827134111,TSE,-0.0001640744002238681
TICK052,70001818474,NASDAQ,0.020073466964637743
TICK053,667600612120,NYSE,-0.027043685473447987
TICK054,334386257242,NASDAQ,0.03991751907160837
TICK055,236153117099,TSE,-0.010481381760087824
TICK056,154486499824,HKEX,-0.03296121024397217
TICK057,909601252271,HKEX,0.04293783970496211
TICK058,293196424339,HKEX,-0.03172574723723151
TICK059,553666603034,HKEX,0.016168563735682248
TICK060,400639325930,NYSE,-0.027518832833994825
TICK061,371605500687,LSE,-0.04729570006143255
TICK062,748485631931,LSE,-0.0125234237930123
TICK063,132764663754,TSE,0.02547053473911036
TICK064,817275911722,NYSE,-0.02588373218571484
TICK065,807338595111,NYSE,-0.014511125064393574
TICK066,354530727617,LSE,0.0172177792935473
TICK067,211199185882,NYSE,0.01969914990639232
TICK068,332650471872,HKEX,-0.02195566636859715
TICK069,227210189666,LSE,0.011814953314417287
TICK070,846695922290,LSE,-0.025544325287610636
TICK071,346699544694,LSE,0.0469526483756596
TICK072,820023951586,NYSE,-0.00030838417852430133
TICK073,684753075506,TSE,0.01640649991349763
TICK074,857778703301,NYSE,-0.028478824650124815
TICK075,708923693869,TSE,0.01649973196295823
TICK076,376280844436,NASDAQ,0.010788808440236698
TICK077,705905966063,LSE,0.04440174507645735
TICK078,359032601239,NYSE,0.04010470126941933
TICK079,436958896454,HKEX,0.006874073840898665
TICK080,650283988445,LSE,0.017078731471605643
TICK081,981946806577,HKEX,0.04315165944549468
TICK082,628244718437,NYSE,0.010484466689418423
TICK083,854039150252,LSE,-0.021844794902339593
TICK084,716849893356,HKEX,0.007121333002130893
TICK085,543944804773,LSE,-0.031990977613200286
TICK086,3034553808,TSE,0.04249712131825166
TICK087,397967021031,LSE,-0.008189159781688195
TICK088,961394950051,LSE,-0.030471919639004297
TICK089,313846788391,LSE,-0.0010693029265672616
TICK090,965413446279,LSE,-0.036323630098479776
TICK091,314100723901,HKEX,0.04906814733636526
TICK092,226295851819,HKEX,0.01742492126419773
TICK093,172193377632,HKEX,-0.037387823638207356
TICK094,523624903438,NYSE,0.012513230632686292
TICK095,942115502351,NYSE,0.04068522890336766
TICK096,711070854304,NYSE,-0.04246934201895163
TICK097,94309550389,LSE,0.03642978474994317
TICK098,156181418706,HKEX,0.00015410924278685956
TICK099,570333522214,NASDAQ,-0.023175542480923208
TICK100,285779084038,HKEX,0.02387812917090998
